Filters 1,Filters 2,Validation Accuracy
32,64,0.8659999966621399
64,32,0.8586666584014893
16,128,0.8576666712760925
16,32,0.8569999933242798
16,64,0.8553333282470703
64,128,0.8546666502952576
32,128,0.8523333072662354
64,64,0.8493333458900452
32,32,0.8423333168029785
